product_name,price_raw,product_url,scraped_at,price_value,currency
АТЛАСНОЕ ПЛАТЬЕ С ПРИНТОМ «ПИТЕР ПЭН» HARRY LAMBERT FOR ZARA X DISNEY,"T 55 990,00",https://www.zara.com/kz/ru/%D0%B0%D1%82%D0%BB%D0%B0%D1%81%D0%BD%D0%BE%D0%B5-%D0%BF%D0%BB%D0%B0%D1%82%D1%8C%D0%B5-%D1%81-%D0%BF%D1%80%D0%B8%D0%BD%D1%82%D0%BE%D0%BC--%D0%BF%D0%B8%D1%82%D0%B5%D1%80-%D0%BF%D1%8D%D0%BD--harry-lambert-for-zara-x-disney-p04772285.html,2025-12-02T12:49:07,55990.0,KZT
КОРОТКОЕ ДЖИНСОВОЕ ПЛАТЬЕ Z1975 С РЕМНЕМ,"T 31 990,00",https://www.zara.com/kz/ru/%D0%BA%D0%BE%D1%80%D0%BE%D1%82%D0%BA%D0%BE%D0%B5-%D0%B4%D0%B6%D0%B8%D0%BD%D1%81%D0%BE%D0%B2%D0%BE%D0%B5-%D0%BF%D0%BB%D0%B0%D1%82%D1%8C%D0%B5-z1975-%D1%81-%D1%80%D0%B5%D0%BC%D0%BD%D0%B5%D0%BC-p09288058.html,2025-12-02T12:49:07,31990.0,KZT
АСИММЕТРИЧНОЕ ПЛАТЬЕ-КОМБИНАЦИЯ ИЗ КОЛЛЕКЦИИ ZW,"T 31 990,00",https://www.zara.com/kz/ru/%D0%B0%D1%81%D0%B8%D0%BC%D0%BC%D0%B5%D1%82%D1%80%D0%B8%D1%87%D0%BD%D0%BE%D0%B5-%D0%BF%D0%BB%D0%B0%D1%82%D1%8C%D0%B5-%D0%BA%D0%BE%D0%BC%D0%B1%D0%B8%D0%BD%D0%B0%D1%86%D0%B8%D1%8F-%D0%B8%D0%B7-%D0%BA%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D0%B8-zw-p06895051.html,2025-12-02T12:49:07,31990.0,KZT
АТЛАСНОЕ ПЛАТЬЕ С КРУЖЕВОМ — ZW COLLECTION,"T 39 990,00",https://www.zara.com/kz/ru/%D0%B0%D1%82%D0%BB%D0%B0%D1%81%D0%BD%D0%BE%D0%B5-%D0%BF%D0%BB%D0%B0%D1%82%D1%8C%D0%B5-%D1%81-%D0%BA%D1%80%D1%83%D0%B6%D0%B5%D0%B2%D0%BE%D0%BC-%E2%80%94-zw-collection-p05919201.html,2025-12-02T12:49:07,39990.0,KZT
АТЛАСНОЕ АСИММЕТРИЧНОЕ ПЛАТЬЕ С КРУЖЕВОМ ZW COLLECTION,"T 39 990,00",https://www.zara.com/kz/ru/%D0%B0%D1%82%D0%BB%D0%B0%D1%81%D0%BD%D0%BE%D0%B5-%D0%B0%D1%81%D0%B8%D0%BC%D0%BC%D0%B5%D1%82%D1%80%D0%B8%D1%87%D0%BD%D0%BE%D0%B5-%D0%BF%D0%BB%D0%B0%D1%82%D1%8C%D0%B5-%D1%81-%D0%BA%D1%80%D1%83%D0%B6%D0%B5%D0%B2%D0%BE%D0%BC-%E2%80%94-zw-collection-p04772113.html,2025-12-02T12:49:07,39990.0,KZT
ПЛАТЬЕ ИЗ СМЕСОВОЙ ШЕРСТИ С КРУЖЕВОМ — ZW COLLECTION LIMITED EDITION,"T 65 990,00",https://www.zara.com/kz/ru/%D0%BF%D0%BB%D0%B0%D1%82%D1%8C%D0%B5-%D0%B8%D0%B7-%D1%81%D0%BC%D0%B5%D1%81%D0%BE%D0%B2%D0%BE%D0%B8-%D1%88%D0%B5%D1%80%D1%81%D1%82%D0%B8-%D1%81-%D0%BA%D1%80%D1%83%D0%B6%D0%B5%D0%B2%D0%BE%D0%BC-%E2%80%94-zw-collection-limited-edition-p09737929.html,2025-12-02T12:49:07,65990.0,KZT
КОРОТКОЕ ПЛАТЬЕ НА БРЕТЕЛЯХ С ОБЪЕМНОЙ ЮБКОЙ,"T 28 990,00",https://www.zara.com/kz/ru/%D0%BA%D0%BE%D1%80%D0%BE%D1%82%D0%BA%D0%BE%D0%B5-%D0%BF%D0%BB%D0%B0%D1%82%D1%8C%D0%B5-%D0%BD%D0%B0-%D0%B1%D1%80%D0%B5%D1%82%D0%B5%D0%BB%D1%8F%D1%85-%D1%81-%D0%BE%D0%B1%D1%8A%D0%B5%D0%BC%D0%BD%D0%BE%D0%B8-%D1%8E%D0%B1%D0%BA%D0%BE%D0%B8-p09542150.html,2025-12-02T12:49:07,28990.0,KZT
ПЛАТЬЕ МИДИ СО СБОРКАМИ — ZW COLLECTION,"T 39 990,00",https://www.zara.com/kz/ru/%D0%BF%D0%BB%D0%B0%D1%82%D1%8C%D0%B5-%D0%BC%D0%B8%D0%B4%D0%B8-%D1%81%D0%BE-%D1%81%D0%B1%D0%BE%D1%80%D0%BA%D0%B0%D0%BC%D0%B8-%E2%80%94-zw-collection-p09482872.html,2025-12-02T12:49:07,39990.0,KZT
АТЛАСНОЕ ПЛАТЬЕ С ЗАВЯЗКАМИ — ZW COLLECTION,"T 49 990,00",https://www.zara.com/kz/ru/%D0%B0%D1%82%D0%BB%D0%B0%D1%81%D0%BD%D0%BE%D0%B5-%D0%BF%D0%BB%D0%B0%D1%82%D1%8C%D0%B5-%D1%81-%D0%B7%D0%B0%D0%B2%D1%8F%D0%B7%D0%BA%D0%B0%D0%BC%D0%B8-%E2%80%94-zw-collection-p09365100.html,2025-12-02T12:49:07,49990.0,KZT
ПЛАТЬЕ МИДИ СО СБОРКАМИ — ZW COLLECTION,"T 55 990,00",https://www.zara.com/kz/ru/%D0%BF%D0%BB%D0%B0%D1%82%D1%8C%D0%B5-%D0%BC%D0%B8%D0%B4%D0%B8-%D1%81%D0%BE-%D1%81%D0%B1%D0%BE%D1%80%D0%BA%D0%B0%D0%BC%D0%B8-%E2%80%94-zw-collection-p09482872.html,2025-12-02T12:49:07,55990.0,KZT
